Scotland's Census 2011 - National Records of Scotland,,,,,,,,,,,
Table CT_0210_2011 - Migration by age - 2001 Data Zones,,,,,,,,,,,
All people,,,,,,,,,,,
,,,,,,,,,,,
,,All people,Aged under 1,Lived at same address one year ago,Lived elsewhere one year ago; within the same Data Zone,Inflow,,,,Outflow (1),
,20 to 24,68,0,51,1,9,6,1,0,10,4
,25 to 34,210,0,181,2,11,14,0,2,13,10
,35 to 49,283,0,256,1,15,11,0,0,15,7
,50 to 64,157,0,147,1,4,5,0,0,5,6
,65 to 74,57,0,57,0,0,0,0,0,1,0
,75 and over,34,0,33,0,1,0,0,0,0,0
S01005313,All people,841,4,799,2,22,12,0,2,26,8
,0 to 15,114,4,102,0,3,5,0,0,6,0
,16 to 19,40,0,40,0,0,0,0,0,2,0
,20 to 24,64,0,57,0,4,2,0,1,1,1
,25 to 34,121,0,108,2,7,4,0,0,9,2
,35 to 49,156,0,150,0,6,0,0,0,6,4
,50 to 64,253,0,250,0,2,0,0,1,1,1
,65 to 74,70,0,69,0,0,1,0,0,0,0
,75 and over,23,0,23,0,0,0,0,0,1,0
S01005314,All people,457,0,427,0,15,10,4,1,13,13
,0 to 15,50,0,44,0,4,2,0,0,5,0
,16 to 19,20,0,19,0,1,0,0,0,0,0
,20 to 24,23,0,19,0,0,2,1,1,0,5
,25 to 34,21,0,15,0,3,2,1,0,4,5
,35 to 49,68,0,58,0,5,3,2,0,3,1
,50 to 64,144,0,144,0,0,0,0,0,1,2
,65 to 74,80,0,80,0,0,0,0,0,0,0
,75 and over,51,0,48,0,2,1,0,0,0,0
S01005315,All people,881,17,744,0,98,20,2,0,43,14
,0 to 15,207,17,162,0,24,4,0,0,9,4
,16 to 19,44,0,38,0,6,0,0,0,2,0
,20 to 24,41,0,31,0,10,0,0,0,9,5
,25 to 34,153,0,128,0,21,3,1,0,9,4
,35 to 49,230,0,206,0,19,4,1,0,12,1
,50 to 64,98,0,83,0,9,6,0,0,1,0
,65 to 74,43,0,41,0,1,1,0,0,1,0
,75 and over,65,0,55,0,8,2,0,0,0,0
S01005316,All people,848,7,807,0,26,2,6,0,23,15
,0 to 15,134,7,122,0,3,0,2,0,5,0
,16 to 19,28,0,28,0,0,0,0,0,0,1
,20 to 24,47,0,44,0,3,0,0,0,2,3
,25 to 34,70,0,59,0,6,1,4,0,8,2
,35 to 49,160,0,155,0,4,1,0,0,4,6
,50 to 64,217,0,208,0,9,0,0,0,2,1
,65 to 74,89,0,89,0,0,0,0,0,0,0
,75 and over,103,0,102,0,1,0,0,0,2,2
S01005317,All people,519,1,504,0,4,7,3,0,22,8
,0 to 15,68,1,65,0,0,1,1,0,6,0
,16 to 19,23,0,23,0,0,0,0,0,0,0
,20 to 24,31,0,30,0,1,0,0,0,0,3
,25 to 34,40,0,34,0,0,5,1,0,9,2
,35 to 49,98,0,96,0,0,1,1,0,7,0
,50 to 64,182,0,179,0,3,0,0,0,0,2
,65 to 74,57,0,57,0,0,0,0,0,0,1
,75 and over,20,0,20,0,0,0,0,0,0,0
S01005318,All people,573,7,536,0,24,5,0,1,14,8
,0 to 15,93,7,75,0,11,0,0,0,2,1
,16 to 19,18,0,16,0,1,1,0,0,0,0
,20 to 24,28,0,22,0,4,2,0,0,2,0
,25 to 34,58,0,52,0,5,0,0,1,1,2
,35 to 49,103,0,100,0,2,1,0,0,5,3
,50 to 64,107,0,106,0,0,1,0,0,2,1
,65 to 74,93,0,93,0,0,0,0,0,1,0
,75 and over,73,0,72,0,1,0,0,0,1,1
S01005319,All people,617,4,583,8,7,10,4,1,20,6
,0 to 15,94,4,85,2,0,2,1,0,0,0
,16 to 19,37,0,37,0,0,0,0,0,1,0
,20 to 24,39,0,39,0,0,0,0,0,3,2
,25 to 34,59,0,47,4,3,2,2,1,6,3
,35 to 49,112,0,108,0,1,2,1,0,1,1
,50 to 64,178,0,171,2,2,3,0,0,5,0
,65 to 74,77,0,76,0,1,0,0,0,2,0
,75 and over,21,0,20,0,0,1,0,0,2,0
S01005320,All people,610,4,557,4,38,1,0,6,24,15
,0 to 15,110,4,100,0,5,0,0,1,3,0
,16 to 19,31,0,28,0,2,0,0,1,4,3
,20 to 24,28,0,20,1,6,0,0,1,5,0
,25 to 34,43,0,38,1,4,0,0,0,3,5
,35 to 49,152,0,135,2,11,1,0,3,4,5
,50 to 64,127,0,120,0,7,0,0,0,2,0
,65 to 74,70,0,69,0,1,0,0,0,1,1
,75 and over,49,0,47,0,2,0,0,0,2,1
S01005321,All people,607,6,566,0,25,10,0,0,25,7
,0 to 15,87,6,71,0,6,4,0,0,5,0
,16 to 19,31,0,27,0,4,0,0,0,2,0
,20 to 24,30,0,25,0,3,2,0,0,3,0
,25 to 34,58,0,53,0,2,3,0,0,6,0
,35 to 49,105,0,99,0,6,0,0,0,1,2
,50 to 64,131,0,130,0,0,1,0,0,5,2
,65 to 74,74,0,74,0,0,0,0,0,0,2
,75 and over,91,0,87,0,4,0,0,0,3,1
S01005322,All people,"1,859",39,"1,676",5,85,39,4,11,87,50
,0 to 15,469,39,404,1,16,6,0,3,22,11
,16 to 19,77,0,74,0,3,0,0,0,3,7
,20 to 24,92,0,67,0,16,8,1,0,7,2
,25 to 34,359,0,316,2,20,16,0,5,24,13
,35 to 49,528,0,495,1,19,8,3,2,22,15
,50 to 64,235,0,224,1,8,1,0,1,5,2
,65 to 74,64,0,61,0,3,0,0,0,2,0
,75 and over,35,0,35,0,0,0,0,0,2,0
S01005323,All people,757,8,691,0,42,7,4,5,37,23
,0 to 15,109,8,87,0,13,0,1,0,9,8
,16 to 19,34,0,27,0,7,0,0,0,5,0
,20 to 24,35,0,32,0,1,1,0,1,5,3
,25 to 34,89,0,78,0,3,5,0,3,7,5
,35 to 49,156,0,139,0,15,0,2,0,6,5
,50 to 64,151,0,148,0,2,0,1,0,2,2
,65 to 74,88,0,86,0,1,1,0,0,0,0
,75 and over,95,0,94,0,0,0,0,1,3,0
S01005324,All people,788,5,713,3,54,8,5,0,42,20
,0 to 15,98,5,78,0,15,0,0,0,6,0
,16 to 19,39,0,32,0,7,0,0,0,6,3
,20 to 24,53,0,45,0,8,0,0,0,3,0
,25 to 34,105,0,88,1,13,1,2,0,14,7
,35 to 49,178,0,166,0,7,5,0,0,8,10
,50 to 64,159,0,153,1,3,1,1,0,4,0
,65 to 74,115,0,110,1,1,1,2,0,1,0
,75 and over,41,0,41,0,0,0,0,0,0,0
S01005325,All people,"2,209",32,"1,830",17,159,139,22,10,106,80
,0 to 15,343,32,275,2,23,11,0,0,24,10
,16 to 19,105,0,84,0,9,10,2,0,8,2
,20 to 24,198,0,141,2,26,22,5,2,13,14
,25 to 34,538,0,428,4,44,48,10,4,9,37
,35 to 49,493,0,437,4,26,20,2,4,33,13
,50 to 64,351,0,307,5,17,21,1,0,13,3
,65 to 74,103,0,91,0,7,3,2,0,2,0
,75 and over,78,0,67,0,7,4,0,0,4,1
S01005326,All people,921,14,791,19,60,33,1,3,52,23
,0 to 15,209,14,152,8,23,12,0,0,10,7
,16 to 19,63,0,48,0,7,8,0,0,8,2
,20 to 24,61,0,49,1,5,4,0,2,6,1
,25 to 34,122,0,99,7,12,4,0,0,13,6
,35 to 49,207,0,191,3,9,3,1,0,8,7
,50 to 64,160,0,154,0,4,1,0,1,5,0
,65 to 74,57,0,57,0,0,0,0,0,1,0
,75 and over,42,0,41,0,0,1,0,0,1,0
S01005327,All people,604,11,555,2,28,4,2,2,14,24
,0 to 15,114,11,97,0,6,0,0,0,4,8
,16 to 19,34,0,29,0,5,0,0,0,0,0
,20 to 24,59,0,49,1,7,2,0,0,0,4
,25 to 34,95,0,82,1,6,2,2,2,6,11
,35 to 49,122,0,120,0,2,0,0,0,3,1
,50 to 64,125,0,123,0,2,0,0,0,0,0
,65 to 74,38,0,38,0,0,0,0,0,1,0
,75 and over,17,0,17,0,0,0,0,0,0,0
S01005328,All people,704,9,557,2,78,50,5,3,71,17
,0 to 15,78,9,57,0,6,6,0,0,17,0
,16 to 19,22,0,9,0,13,0,0,0,2,0
,20 to 24,38,0,21,1,9,7,0,0,14,2
,25 to 34,168,0,128,1,17,14,5,3,22,6
,35 to 49,206,0,166,0,21,19,0,0,13,7
,50 to 64,141,0,127,0,11,3,0,0,1,0
,65 to 74,38,0,37,0,0,1,0,0,2,2
,75 and over,13,0,12,0,1,0,0,0,0,0
S01005329,All people,658,8,604,0,29,12,5,0,30,14
,0 to 15,124,8,108,0,4,3,1,0,7,1
,16 to 19,39,0,37,0,2,0,0,0,2,4
,20 to 24,41,0,36,0,3,1,1,0,3,1
,25 to 34,62,0,51,0,8,2,1,0,4,3
,35 to 49,161,0,149,0,5,6,1,0,5,0
,50 to 64,143,0,136,0,7,0,0,0,6,0
,65 to 74,66,0,65,0,0,0,1,0,1,0
,75 and over,22,0,22,0,0,0,0,0,2,5
S01005330,All people,706,8,650,1,22,19,2,4,19,10
,0 to 15,113,8,96,0,2,5,0,2,2,4
,16 to 19,16,0,15,0,1,0,0,0,1,0
,20 to 24,36,0,31,0,1,2,1,1,6,0
,25 to 34,86,0,74,0,9,1,1,1,3,5
,35 to 49,121,0,108,0,4,9,0,0,4,1
,50 to 64,165,0,159,0,4,2,0,0,1,0
,65 to 74,77,0,77,0,0,0,0,0,0,0
,75 and over,92,0,90,1,1,0,0,0,2,0
S01005331,All people,669,8,597,4,40,11,5,4,30,20
,0 to 15,85,8,71,2,4,0,0,0,7,4
,16 to 19,36,0,30,0,3,1,2,0,0,3
,20 to 24,42,0,32,0,6,2,1,1,3,3
,25 to 34,84,0,72,0,9,0,1,2,9,4
,35 to 49,125,0,115,2,4,3,0,1,3,2
,50 to 64,162,0,148,0,11,2,1,0,7,2
,65 to 74,68,0,65,0,1,2,0,0,1,0
,75 and over,67,0,64,0,2,1,0,0,0,2
S01005332,All people,565,3,528,1,24,9,0,0,19,6
,0 to 15,59,3,51,0,5,0,0,0,9,0
,16 to 19,21,0,20,0,1,0,0,0,0,0
,20 to 24,24,0,20,0,2,2,0,0,2,5
,25 to 34,49,0,38,1,6,4,0,0,3,0
,35 to 49,98,0,92,0,6,0,0,0,1,0
,50 to 64,145,0,145,0,0,0,0,0,4,0
,65 to 74,61,0,61,0,0,0,0,0,0,1
,75 and over,108,0,101,0,4,3,0,0,0,0
S01005333,All people,772,2,755,1,8,6,0,0,16,5
,0 to 15,96,2,93,0,1,0,0,0,2,0
,16 to 19,37,0,37,0,0,0,0,0,0,0
,20 to 24,51,0,47,1,3,0,0,0,1,1
,25 to 34,51,0,46,0,2,3,0,0,8,2
,35 to 49,128,0,126,0,0,2,0,0,4,2
,50 to 64,252,0,250,0,2,0,0,0,0,0
,65 to 74,98,0,98,0,0,0,0,0,1,0
,75 and over,59,0,58,0,0,1,0,0,0,0
S01005334,All people,"1,137",13,"1,060",1,38,15,4,6,38,12
,0 to 15,266,13,236,0,10,3,2,2,3,2
,16 to 19,37,0,34,0,1,2,0,0,2,0
,20 to 24,49,0,40,1,7,1,0,0,5,5
,25 to 34,147,0,130,0,9,5,2,1,16,1
,35 to 49,303,0,288,0,8,4,0,3,6,4
,50 to 64,215,0,212,0,3,0,0,0,3,0
,65 to 74,63,0,63,0,0,0,0,0,2,0
,75 and over,57,0,57,0,0,0,0,0,1,0
S01005335,All people,505,5,461,0,23,9,1,6,20,21
,0 to 15,79,5,62,0,7,4,0,1,6,0
,16 to 19,38,0,36,0,2,0,0,0,4,13
,20 to 24,32,0,30,0,1,0,0,1,0,1
,25 to 34,44,0,32,0,7,3,0,2,3,3
,35 to 49,118,0,110,0,6,1,1,0,4,4
,50 to 64,105,0,102,0,0,1,0,2,3,0
,65 to 74,60,0,60,0,0,0,0,0,0,0
,75 and over,29,0,29,0,0,0,0,0,0,0
S01005336,All people,598,6,536,1,27,19,4,5,13,7
,0 to 15,125,6,102,0,8,9,0,0,0,1
,16 to 19,31,0,29,0,1,1,0,0,1,1
,20 to 24,35,0,30,1,2,1,0,1,0,0
,25 to 34,66,0,50,0,6,3,4,3,7,1
,35 to 49,132,0,121,0,6,5,0,0,1,4
,50 to 64,104,0,100,0,4,0,0,0,2,0
,65 to 74,73,0,73,0,0,0,0,0,0,0
,75 and over,32,0,31,0,0,0,0,1,2,0
S01005337,All people,872,5,831,0,21,6,4,5,45,24
,0 to 15,154,5,141,0,6,0,2,0,18,1
,16 to 19,48,0,48,0,0,0,0,0,1,5
,20 to 24,77,0,72,0,2,2,0,1,5,6
,25 to 34,57,0,46,0,8,3,0,0,12,4
,35 to 49,195,0,190,0,3,1,1,0,5,2
,50 to 64,236,0,231,0,2,0,1,2,4,6
,65 to 74,80,0,78,0,0,0,0,2,0,0
,75 and over,25,0,25,0,0,0,0,0,0,0
S01005338,All people,562,5,541,3,7,4,0,2,12,9
,0 to 15,135,5,128,1,1,0,0,0,0,2
,16 to 19,35,0,35,0,0,0,0,0,0,0
,20 to 24,43,0,40,0,2,0,0,1,6,2
,25 to 34,56,0,48,1,3,3,0,1,2,1
,35 to 49,154,0,152,1,0,1,0,0,4,2
,50 to 64,120,0,119,0,1,0,0,0,0,0
,65 to 74,14,0,14,0,0,0,0,0,0,2
,75 and over,5,0,5,0,0,0,0,0,0,0
S01005339,All people,770,10,706,0,37,14,1,2,23,2
,0 to 15,160,10,136,0,9,4,0,1,2,0
,16 to 19,39,0,36,0,2,1,0,0,8,0
,20 to 24,40,0,35,0,3,2,0,0,5,1
,25 to 34,77,0,64,0,8,4,0,1,2,0
,35 to 49,170,0,157,0,10,2,1,0,3,1
,50 to 64,159,0,154,0,4,1,0,0,1,0
,65 to 74,71,0,71,0,0,0,0,0,0,0
,75 and over,54,0,53,0,1,0,0,0,2,0
S01005340,All people,573,6,545,0,15,1,2,4,16,10
,0 to 15,135,6,124,0,4,0,0,1,2,0
,16 to 19,38,0,38,0,0,0,0,0,0,1
,20 to 24,32,0,27,0,2,1,1,1,2,3
,25 to 34,68,0,64,0,3,0,0,1,6,0
,35 to 49,152,0,150,0,0,0,1,1,5,2
,50 to 64,118,0,115,0,3,0,0,0,0,2
,65 to 74,16,0,14,0,2,0,0,0,0,0
,75 and over,14,0,13,0,1,0,0,0,1,2
S01005341,All people,647,11,601,0,27,7,1,0,31,9
,0 to 15,131,11,110,0,8,2,0,0,8,0
,16 to 19,34,0,34,0,0,0,0,0,1,3
,20 to 24,32,0,29,0,3,0,0,0,4,1
,25 to 34,67,0,58,0,8,0,1,0,4,3
,35 to 49,145,0,135,0,6,4,0,0,7,1
,50 to 64,133,0,130,0,2,1,0,0,2,0
,65 to 74,75,0,75,0,0,0,0,0,0,1
,75 and over,30,0,30,0,0,0,0,0,5,0
S01005342,All people,730,7,686,2,25,9,0,1,42,10
,0 to 15,128,7,110,0,11,0,0,0,6,0
,16 to 19,49,0,48,0,1,0,0,0,4,1
,20 to 24,38,0,33,0,1,3,0,1,10,1
,25 to 34,72,0,65,0,3,4,0,0,6,5
,35 to 49,161,0,152,2,7,0,0,0,12,3
,50 to 64,155,0,153,0,2,0,0,0,3,0
,65 to 74,93,0,91,0,0,2,0,0,0,0
,75 and over,34,0,34,0,0,0,0,0,1,0
S01005343,All people,932,11,877,0,31,9,1,3,26,7
,0 to 15,200,11,178,0,8,3,0,0,5,0
,16 to 19,62,0,62,0,0,0,0,0,0,2
,20 to 24,53,0,46,0,3,2,1,1,2,1
,25 to 34,80,0,65,0,13,1,0,1,7,1
,35 to 49,262,0,251,0,7,3,0,1,6,3
,50 to 64,179,0,179,0,0,0,0,0,3,0
,65 to 74,66,0,66,0,0,0,0,0,2,0
,75 and over,30,0,30,0,0,0,0,0,1,0
S01005344,All people,726,7,691,0,19,8,0,1,42,17
,0 to 15,147,7,131,0,7,2,0,0,16,0
,16 to 19,26,0,25,0,1,0,0,0,1,0
,20 to 24,42,0,37,0,3,2,0,0,4,3
,25 to 34,80,0,73,0,3,3,0,1,13,7
,35 to 49,148,0,147,0,1,0,0,0,5,3
,50 to 64,155,0,155,0,0,0,0,0,2,4
,65 to 74,78,0,73,0,4,1,0,0,0,0
,75 and over,50,0,50,0,0,0,0,0,1,0
S01005345,All people,747,6,722,0,11,7,1,0,18,12
,0 to 15,153,6,145,0,2,0,0,0,3,1
,16 to 19,59,0,58,0,0,1,0,0,1,1
,20 to 24,58,0,57,0,1,0,0,0,5,6
,25 to 34,65,0,58,0,4,3,0,0,5,4
,35 to 49,186,0,182,0,2,1,1,0,2,0
,50 to 64,146,0,144,0,0,2,0,0,2,0
,65 to 74,52,0,52,0,0,0,0,0,0,0
,75 and over,28,0,26,0,2,0,0,0,0,0
S01005346,All people,789,3,755,0,14,7,1,9,14,17
,0 to 15,127,3,117,0,3,2,0,2,1,2
,16 to 19,64,0,63,0,0,0,0,1,2,1
,20 to 24,74,0,69,0,2,0,0,3,6,2
,25 to 34,62,0,52,0,5,3,1,1,3,4
,35 to 49,174,0,166,0,4,2,0,2,2,6
,50 to 64,239,0,239,0,0,0,0,0,0,2
,65 to 74,33,0,33,0,0,0,0,0,0,0
,75 and over,16,0,16,0,0,0,0,0,0,0
S01005347,All people,675,5,651,0,5,10,2,2,20,7
,0 to 15,103,5,94,0,0,3,1,0,4,2
,16 to 19,37,0,37,0,0,0,0,0,6,1
,20 to 24,39,0,37,0,2,0,0,0,2,0
,25 to 34,81,0,74,0,1,3,1,2,6,2
,35 to 49,137,0,135,0,0,2,0,0,2,2
,50 to 64,205,0,202,0,1,2,0,0,0,0
,65 to 74,49,0,49,0,0,0,0,0,0,0
,75 and over,24,0,23,0,1,0,0,0,0,0
S01005348,All people,933,5,862,2,45,18,1,0,32,6
,0 to 15,163,5,153,0,5,0,0,0,5,1
,16 to 19,36,0,32,0,2,2,0,0,2,1
,20 to 24,42,0,39,0,3,0,0,0,5,1
,25 to 34,94,0,82,0,5,6,1,0,10,3
,35 to 49,220,0,210,0,8,2,0,0,7,0
,50 to 64,197,0,193,0,4,0,0,0,1,0
,65 to 74,58,0,58,0,0,0,0,0,0,0
,75 and over,123,0,95,2,18,8,0,0,2,0
S01005349,All people,846,9,802,0,26,8,1,0,45,10
,0 to 15,164,9,149,0,5,1,0,0,22,1
,16 to 19,55,0,53,0,1,1,0,0,2,0
,20 to 24,57,0,52,0,3,1,1,0,3,4
,25 to 34,88,0,73,0,11,4,0,0,7,2
,35 to 49,224,0,219,0,5,0,0,0,11,3
,50 to 64,165,0,163,0,1,1,0,0,0,0
,65 to 74,61,0,61,0,0,0,0,0,0,0
,75 and over,32,0,32,0,0,0,0,0,0,0
S01005350,All people,709,4,675,0,19,11,0,0,13,9
,0 to 15,123,4,115,0,3,1,0,0,1,0
,16 to 19,45,0,42,0,2,1,0,0,1,1
,20 to 24,41,0,38,0,0,3,0,0,3,2
,25 to 34,44,0,34,0,5,5,0,0,0,2
,35 to 49,164,0,158,0,5,1,0,0,6,2
,50 to 64,189,0,186,0,3,0,0,0,0,1
,65 to 74,68,0,68,0,0,0,0,0,2,0
,75 and over,35,0,34,0,1,0,0,0,0,1
S01005351,All people,"1,349",6,"1,198",6,48,78,10,3,48,46
,0 to 15,181,6,162,0,5,5,3,0,11,4
,16 to 19,71,0,64,0,3,4,0,0,2,12
,20 to 24,70,0,60,0,4,3,2,1,9,5
,25 to 34,91,0,76,0,5,9,1,0,9,9
,35 to 49,286,0,266,0,4,12,2,2,10,9
,50 to 64,274,0,262,2,3,5,2,0,4,5
,65 to 74,105,0,96,2,6,1,0,0,0,0
,75 and over,271,0,212,2,18,39,0,0,3,2
S01005352,All people,926,16,842,4,46,15,1,2,27,12
,0 to 15,202,16,162,2,17,4,0,1,4,0
,16 to 19,42,0,37,0,4,1,0,0,0,5
,20 to 24,52,0,44,0,4,2,1,1,2,2
,25 to 34,89,0,77,1,7,4,0,0,8,2
,35 to 49,208,0,195,1,11,1,0,0,10,2
,50 to 64,148,0,143,0,3,2,0,0,2,0
,65 to 74,103,0,102,0,0,1,0,0,0,1
,75 and over,82,0,82,0,0,0,0,0,1,0
S01005353,All people,"1,057",14,972,5,33,28,2,3,33,9
,0 to 15,227,14,195,0,9,9,0,0,8,0
,16 to 19,48,0,45,0,3,0,0,0,5,0
,20 to 24,45,0,39,1,3,1,1,0,7,1
,25 to 34,134,0,114,0,11,9,0,0,7,5
,35 to 49,212,0,196,1,6,6,1,2,3,1
,50 to 64,195,0,190,1,1,2,0,1,2,2
,65 to 74,97,0,94,2,0,1,0,0,1,0
,75 and over,99,0,99,0,0,0,0,0,0,0
S01005354,All people,843,8,807,1,11,15,0,1,23,28
,0 to 15,121,8,108,0,3,2,0,0,1,5
,16 to 19,58,0,55,0,1,2,0,0,1,1
,20 to 24,50,0,47,0,0,3,0,0,2,6
,25 to 34,93,0,82,1,5,4,0,1,9,6
,35 to 49,157,0,152,0,2,3,0,0,3,6
,50 to 64,237,0,236,0,0,1,0,0,3,3
,65 to 74,92,0,92,0,0,0,0,0,1,1
,75 and over,35,0,35,0,0,0,0,0,3,0
S01005355,All people,737,6,697,0,29,4,1,0,16,6
,0 to 15,149,6,134,0,9,0,0,0,4,2
,16 to 19,37,0,34,0,3,0,0,0,1,1
,20 to 24,44,0,38,0,4,2,0,0,1,0
,25 to 34,73,0,66,0,7,0,0,0,3,1
,35 to 49,167,0,162,0,3,1,1,0,5,1
,50 to 64,142,0,142,0,0,0,0,0,1,0
,65 to 74,74,0,72,0,2,0,0,0,1,0
,75 and over,51,0,49,0,1,1,0,0,0,1
S01005356,All people,681,6,651,0,10,9,5,0,15,6
,0 to 15,114,6,104,0,2,2,0,0,1,0
,16 to 19,21,0,19,0,2,0,0,0,3,0
,20 to 24,38,0,36,0,1,1,0,0,3,1
,25 to 34,41,0,37,0,0,2,2,0,2,4
,35 to 49,129,0,124,0,1,3,1,0,3,0
,50 to 64,187,0,182,0,3,1,1,0,1,0
,65 to 74,86,0,86,0,0,0,0,0,0,0
,75 and over,65,0,63,0,1,0,1,0,2,1
S01005357,All people,790,15,717,3,41,13,0,1,39,26
,0 to 15,143,15,121,1,6,0,0,0,11,5
,16 to 19,37,0,33,0,2,2,0,0,1,1
,20 to 24,47,0,28,1,12,5,0,1,6,3
,25 to 34,95,0,85,0,7,3,0,0,5,6
,35 to 49,155,0,151,0,3,1,0,0,8,7
,50 to 64,92,0,86,1,4,1,0,0,2,1
,65 to 74,101,0,95,0,6,0,0,0,2,2
,75 and over,120,0,118,0,1,1,0,0,4,1
S01005358,All people,782,6,730,4,21,15,4,2,12,15
,0 to 15,133,6,115,2,4,5,0,1,3,0
,16 to 19,30,0,27,0,2,1,0,0,1,0
,20 to 24,42,0,37,0,2,1,1,1,1,7
,25 to 34,85,0,67,2,7,8,1,0,2,4
,35 to 49,177,0,172,0,4,0,1,0,1,2
,50 to 64,166,0,164,0,2,0,0,0,2,1
,65 to 74,77,0,77,0,0,0,0,0,0,1
,75 and over,72,0,71,0,0,0,1,0,2,0
S01005359,All people,808,5,753,0,26,15,2,7,21,25
,0 to 15,101,5,84,0,5,5,0,2,1,3
,16 to 19,35,0,35,0,0,0,0,0,3,6
,20 to 24,56,0,48,0,6,0,0,2,2,3
,25 to 34,59,0,54,0,1,4,0,0,8,5
,35 to 49,155,0,138,0,10,6,0,1,3,6
,50 to 64,266,0,260,0,4,0,0,2,3,2
,65 to 74,98,0,96,0,0,0,2,0,0,0
,75 and over,38,0,38,0,0,0,0,0,1,0
S01005360,All people,762,6,738,3,8,5,1,1,7,9
,0 to 15,97,6,89,2,0,0,0,0,0,2
,16 to 19,38,0,38,0,0,0,0,0,0,0
,20 to 24,43,0,42,0,0,0,1,0,1,3
,25 to 34,61,0,52,0,5,4,0,0,2,0
,35 to 49,145,0,140,1,2,1,0,1,1,2
,50 to 64,224,0,224,0,0,0,0,0,1,2
,65 to 74,108,0,108,0,0,0,0,0,0,0
,75 and over,46,0,45,0,1,0,0,0,2,0
S01005361,All people,932,8,876,0,15,24,7,2,8,26
,0 to 15,152,8,135,0,6,3,0,0,0,1
,16 to 19,51,0,47,0,2,2,0,0,1,2
,20 to 24,40,0,36,0,1,3,0,0,2,6
,25 to 34,47,0,35,0,1,6,4,1,4,8
,35 to 49,202,0,186,0,3,9,3,1,0,5
,50 to 64,277,0,274,0,2,1,0,0,1,3
,65 to 74,94,0,94,0,0,0,0,0,0,0
,75 and over,69,0,69,0,0,0,0,0,0,1
S01005362,All people,768,4,679,32,16,10,16,11,23,19
,0 to 15,100,4,83,6,2,0,3,2,6,1
,16 to 19,28,0,24,2,0,0,2,0,2,3
,20 to 24,27,0,18,1,2,3,2,1,1,5
,25 to 34,54,0,40,6,5,1,0,2,5,7
,35 to 49,159,0,140,8,3,2,2,4,7,2
,50 to 64,164,0,145,6,2,3,6,2,0,1
,65 to 74,113,0,108,2,2,1,0,0,0,0
,75 and over,123,0,121,1,0,0,1,0,2,0
S01005363,All people,666,6,615,0,19,3,22,1,53,10
,0 to 15,91,6,75,0,6,0,4,0,5,3
,16 to 19,27,0,25,0,0,0,2,0,11,4
,20 to 24,31,0,26,0,1,0,3,1,3,0
,25 to 34,51,0,43,0,3,0,5,0,9,0
,35 to 49,122,0,112,0,5,2,3,0,5,2
,50 to 64,216,0,209,0,2,1,4,0,13,1
,65 to 74,82,0,80,0,2,0,0,0,5,0
,75 and over,46,0,45,0,0,0,1,0,2,0
S01005364,All people,911,5,847,8,22,11,13,5,41,16
,0 to 15,120,5,111,0,2,1,1,0,4,3
,16 to 19,32,0,31,0,0,1,0,0,9,6
,20 to 24,42,0,36,0,3,2,1,0,5,1
,25 to 34,57,0,41,3,11,1,1,0,3,2
,35 to 49,197,0,190,0,1,4,1,1,8,2
,50 to 64,273,0,252,5,5,1,6,4,9,0
,65 to 74,128,0,124,0,0,1,3,0,2,1
,75 and over,62,0,62,0,0,0,0,0,1,1
S01005365,All people,888,6,808,11,38,9,6,10,24,13
,0 to 15,142,6,125,2,6,2,1,0,2,0
,16 to 19,49,0,47,0,1,1,0,0,2,4
,20 to 24,34,0,28,0,5,0,1,0,0,2
,25 to 34,51,0,41,0,3,2,1,4,6,2
,35 to 49,200,0,184,2,10,3,0,1,6,2
,50 to 64,253,0,235,6,6,0,3,3,2,3
,65 to 74,94,0,91,1,0,0,0,2,3,0
,75 and over,65,0,57,0,7,1,0,0,3,0
S01005366,All people,708,7,653,1,33,9,4,1,19,8
,0 to 15,126,7,109,0,9,1,0,0,4,0
,16 to 19,36,0,32,0,2,2,0,0,0,6
,20 to 24,25,0,20,0,3,2,0,0,6,1
,25 to 34,48,0,41,1,3,1,1,1,4,0
,35 to 49,151,0,137,0,10,3,1,0,2,0
,50 to 64,158,0,155,0,3,0,0,0,1,1
,65 to 74,106,0,102,0,2,0,2,0,2,0
,75 and over,58,0,57,0,1,0,0,0,0,0
S01005367,All people,751,7,692,4,30,12,4,2,46,5
,0 to 15,89,7,76,0,5,1,0,0,6,0
,16 to 19,14,0,10,0,3,1,0,0,4,1
,20 to 24,35,0,25,3,6,0,1,0,5,1
,25 to 34,83,0,76,0,5,2,0,0,7,0
,35 to 49,139,0,130,0,7,1,1,0,7,2
,50 to 64,158,0,151,1,1,4,1,0,8,1
,65 to 74,121,0,112,0,3,3,1,2,4,0
,75 and over,112,0,112,0,0,0,0,0,5,0
S01005368,All people,675,10,583,7,67,6,1,1,63,10
,0 to 15,105,10,90,0,5,0,0,0,22,0
,16 to 19,34,0,17,1,15,0,1,0,3,0
,20 to 24,33,0,21,1,9,2,0,0,3,3
,25 to 34,81,0,63,1,15,2,0,0,20,4
,35 to 49,137,0,128,2,6,1,0,0,11,1
,50 to 64,113,0,108,0,4,1,0,0,2,1
,65 to 74,75,0,70,2,2,0,0,1,2,0
,75 and over,97,0,86,0,11,0,0,0,0,1
S01005369,All people,974,11,808,13,94,26,9,13,106,11
